Payouts Payout Currency,AED,AUD,CAD,CHF,CNY,CZK,EUR,GBP,HKD,JPY,KRW,MYR,NOK,NZD,PEN,SAR,SEK,SGD,THB,USD,ZAR
Transfer Dates Guaranteed Week,Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD)
2020-01-13,88223.88848779394,6845977.961428902,13383463.128496557,363281.92741952866,63798.26407786935,,1689501.40940766,6939626.666311751,504383.6740529022,1339878.137746533,2664.8940399999997,598057.8630528011,20598.20943404252,2287967.257106213,,,59718.67415065631,333710.3428102851,,68180004.29237385,
2020-01-06,44888.767934612,5272098.759558051,13667348.75828966,201677.12927186655,202873.24335183745,,1713815.3772852274,7728477.783368516,466146.34917220013,1184117.3849199214,2009.3430700000001,819416.8233720271,18650.77022171,1439839.0320808503,,,78862.367256844,509348.2277695766,,96301695.59932227,
2019-12-30,171244.928771966,2759953.112010269,9905932.12221278,120918.19037537779,327857.2313330569,,1307254.2509722062,6462599.7179487515,636505.8917277677,773845.8181261042,,707174.7398581748,436.84925211714,927340.2747889247,,,35166.09003019,753103.9443773589,,80495047.2077731,
2019-12-23,165205.39710899198,2837776.67423616,11072309.287820037,329897.29382750514,345131.6169491265,,1062308.8966667135,4606515.625335089,470102.1702446207,1088966.7070083516,,441466.5709860909,5046.600546275,683519.9252160691,,,16642.484685,548907.6428799415,,53274292.94941792,
2019-12-16,94490.674065326,4228310.922384758,13415279.7303208,523590.97298503877,88020.97567637687,,1318528.9692269897,5349788.179777243,354426.9147314084,1491441.3845835205,,306507.55227855075,29817.02297943882,1297614.3797951955,,,14253.652797499999,924442.4196952123,0,55163172.64157546,
2019-12-09,92562.64138723139,4168115.706122983,11974012.507780727,351802.3609332102,43821.7895402249,,1256183.5334682344,4880613.024109385,439227.25206506834,1725029.1940855607,,346258.23379383073,16709.906345882602,824303.2606771183,,,4570.7218275,842990.2534184996,8636.98891382203,45076748.68703439,
2019-12-02,20885.228076678002,3778259.1310866848,10637055.664191477,453761.51603186247,16515.912035367302,,1471004.3509854495,4244404.471745851,364686.159690204,1951603.400862328,,273731.3297829569,30310.4138605048,623167.0613866824,,,11596.188402,547984.7678608638,,30465660.80185135,
2019-11-25,20408.985734256,4086094.406201955,9683564.421826927,1052707.4009187934,,,1393649.886994095,4213393.85321987,311522.97330464266,1476593.1396764633,,324383.75522672536,22980.12383584178,900701.1919820296,,,4580.81173697,458079.78363981395,588.362114844,24179631.611981053,
2019-11-18,39342.9136038743,4246816.936340935,10429405.748638654,577133.180944735,25455.369221789635,,1218749.0160658723,3619817.708330549,95967.12317104409,1725997.6177245867,,272039.85784170555,39566.658105232236,425278.6918798538,,,38585.161830929996,417971.04920581507,5729.45637212707,16774362.044413315,
2019-11-11,44489.2308339626,3313149.468721077,13445776.078259673,515894.72401023837,31347.9525285997,,1255625.475926162,3421693.573710802,74540.18521378672,1766873.3941923887,,155654.9530703282,12644.47122046691,480264.9799803498,,,92835.47708300801,432150.6943353434,2493.24190460704,10946481.240956197,
2019-11-04,,2850655.480902767,15739267.343116915,393715.43921874446,35700.05996628391,,1369442.1153256835,3855834.976449756,82601.81460985001,1840442.1125674117,,231036.87698006973,18718.03637979618,341677.96659263456,,,100614.67054911902,571116.5990129733,,7930576.32237477,
